time/time_elapsed,time/iterations,time/fps,time/total_timesteps,train/policy_gradient_loss,train/entropy_loss,train/clip_fraction,train/clip_range,train/explained_variance,train/n_updates,train/loss,train/learning_rate,train/value_loss,train/approx_kl
1820,735,206,376320,0.011530940711963922,-0.8134131133556366,0.17236328125,0.2,-0.05959630012512207,2936,0.014498609118163586,0.0003,3.0904769627859707e-06,0.013390218
1823,736,206,376832,0.017473020358011127,-0.8011517748236656,0.37255859375,0.2,-0.09442758560180664,2940,0.10054414719343185,0.0003,4.430026385460195e-05,0.06971762
1825,737,206,377344,0.011059483047574759,-0.8256886582821608,0.22216796875,0.2,-0.047127723693847656,2944,0.03842644393444061,0.0003,1.8734726376479216e-05,0.023022648
1828,738,206,377856,-0.004460367141291499,-0.7732807099819183,0.2109375,0.2,-0.05003654956817627,2948,0.010769902728497982,0.0003,8.188809860421031e-06,0.02334631
1830,739,206,378368,0.004752499487949535,-0.8315926007926464,0.248046875,0.2,-0.09849429130554199,2952,-0.0034148567356169224,0.0003,1.677755549156501e-06,0.016802745
1832,740,206,378880,0.0022683990246150643,-0.8221108168363571,0.11376953125,0.2,-0.11516702175140381,2956,0.008151106536388397,0.0003,1.2336392651857153e-06,0.007594459
1835,741,206,379392,0.0006883639143779874,-0.8536622636020184,0.3193359375,0.2,-0.12262499332427979,2960,0.021341370418667793,0.0003,9.164158470298389e-06,0.017582396
1837,742,206,379904,0.002165976766264066,-0.958632729947567,0.2978515625,0.2,-0.31254374980926514,2964,-0.03273986652493477,0.0003,6.30434527693069e-07,0.04651553
1840,743,206,380416,-0.0048568088677711785,-0.8320202473551035,0.2744140625,0.2,-0.6191006898880005,2968,-0.03272263705730438,0.0003,2.027259920489577e-07,0.01619897
1842,744,206,380928,-0.00586613779887557,-0.8805383518338203,0.2724609375,0.2,-1.1098110675811768,2972,-0.029976604506373405,0.0003,2.8136338664497273e-07,0.021267075
1845,745,206,381440,0.0014672701945528388,-0.9785061366856098,0.12109375,0.2,-1.7967092990875244,2976,0.0033954097889363766,0.0003,7.778178237605182e-08,0.012436167
1847,746,206,381952,0.0005507821915671229,-0.8662790600210428,0.13525390625,0.2,-2.3808276653289795,2980,-0.010551504790782928,0.0003,1.9478953261486964e-07,0.008538117
1850,747,206,382464,-0.002107581705786288,-0.8890643417835236,0.2919921875,0.2,-2.8485472202301025,2984,-0.03159511834383011,0.0003,5.600458624632765e-08,0.02168664
1852,748,206,382976,-0.010308671044185758,-0.9608627259731293,0.3291015625,0.2,-4.319547176361084,2988,-0.004839081317186356,0.0003,5.491665830414938e-08,0.021836527
1854,749,206,383488,-0.0023670619120821357,-0.9885264076292515,0.146484375,0.2,-9.13087272644043,2992,-0.020329734310507774,0.0003,3.3697189649739556e-08,0.003957066
1857,750,206,384000,-0.007617767114425078,-0.9684044700115919,0.23681640625,0.2,-2.340872287750244,2996,-0.023168347775936127,0.0003,7.728402243167842e-08,0.011390865
1859,751,206,384512,-0.004155606962740421,-0.9916092604398727,0.20458984375,0.2,-11.247381210327148,3000,0.019201388582587242,0.0003,8.187679081950172e-08,0.02837881
1862,752,206,385024,0.000776936998590827,-1.0546065121889114,0.119140625,0.2,-5.177689075469971,3004,-0.007966560311615467,0.0003,1.043863089023045e-08,0.006222
1864,753,206,385536,-0.0014027950819581747,-0.9898625202476978,0.2412109375,0.2,-3.524479389190674,3008,-0.03422398120164871,0.0003,7.28674064143231e-09,0.033948936
1867,754,206,386048,0.0024210112751461565,-1.0329088997095823,0.12109375,0.2,-24.189205169677734,3012,-0.017505155876278877,0.0003,9.144135774616369e-08,0.01256565
1869,755,206,386560,0.0026402391958981752,-1.0324029438197613,0.11865234375,0.2,-13.560161590576172,3016,-0.01999344490468502,0.0003,1.4098464957978951e-08,0.022636518
1872,756,206,387072,0.01113384054042399,-0.9770917389541864,0.24755859375,0.2,-24.745798110961914,3020,-0.008631139062345028,0.0003,1.0760798793696402e-08,0.01528074
1874,757,206,387584,0.007715614134212956,-0.9282817393541336,0.24951171875,0.2,-13.17556095123291,3024,-0.024642763659358025,0.0003,1.962439515057479e-08,0.022553116
1877,758,206,388096,0.00836376560619101,-0.9093545693904161,0.30859375,0.2,-71.17697143554688,3028,-0.01441260427236557,0.0003,5.653173745095996e-09,0.008929925
1879,759,206,388608,-0.0005390140868257731,-0.851097609847784,0.173828125,0.2,-56.921329498291016,3032,0.010504569858312607,0.0003,8.072880825632511e-09,0.023024924
1881,760,206,389120,-0.0011036529613193125,-0.8445871639996767,0.05859375,0.2,-34.4737548828125,3036,-0.010944105684757233,0.0003,3.2987600030037756e-09,0.004634628
1884,761,206,389632,0.00020089518511667848,-0.8539214786142111,0.138671875,0.2,-4.320047378540039,3040,-0.008818477392196655,0.0003,3.2562208311659457e-09,0.0072492096
1886,762,206,390144,0.005977866007015109,-0.882531987503171,0.18017578125,0.2,-33.382179260253906,3044,0.013118083588778973,0.0003,2.459767474774499e-09,0.015946776
1889,763,206,390656,-0.00230839524010662,-0.8249113522469997,0.111328125,0.2,-87.99964141845703,3048,-0.016125468537211418,0.0003,4.346803073734806e-09,0.0062179007
1891,764,206,391168,0.006924199289642274,-0.81680828332901,0.20263671875,0.2,-57.54463577270508,3052,-0.012506771832704544,0.0003,3.02560208137459e-09,0.056182954
1894,765,206,391680,0.01244884473271668,-0.7764733768999577,0.31591796875,0.2,-36.728572845458984,3056,0.0031636112835258245,0.0003,2.736178245782428e-09,0.080845386
1896,766,206,392192,0.016678461455740035,-0.7669559847563505,0.283203125,0.2,-52.82013702392578,3060,-0.008827528916299343,0.0003,2.5512655278323026e-09,0.01574901
1899,767,206,392704,0.011241954285651445,-0.7724369801580906,0.2724609375,0.2,-53.9494743347168,3064,0.0015993287088349462,0.0003,4.096223024836754e-09,0.008835489
1901,768,206,393216,0.012733680196106434,-0.7387493941932917,0.24658203125,0.2,-59.539405822753906,3068,0.03985172510147095,0.0003,2.912803134108577e-09,0.028107848
1904,769,206,393728,-0.011778581887483597,-0.8215812109410763,0.37158203125,0.2,-45.11838150024414,3072,-0.04242698848247528,0.0003,1.8070077812543106e-09,0.15842746
1906,770,206,394240,0.0017198139103129506,-0.7722062356770039,0.1845703125,0.2,-64.16007232666016,3076,0.0024946772027760744,0.0003,3.7244057504715045e-08,0.013281737
1909,771,206,394752,0.0107430923380889,-0.7708344850689173,0.2724609375,0.2,-50.78056335449219,3080,-0.006164668593555689,0.0003,2.9121791977892997e-08,0.049388
1911,772,206,395264,0.005353219865355641,-0.7694467902183533,0.22119140625,0.2,-62.68073272705078,3084,0.002918521873652935,0.0003,2.8896804671330045e-08,0.02435857
1913,773,206,395776,0.004331892705522478,-0.782235462218523,0.2021484375,0.2,-57.985652923583984,3088,-0.012410874478518963,0.0003,1.8084360675629796e-08,0.013730055
1916,774,206,396288,0.010645221074810252,-0.8039091564714909,0.24462890625,0.2,-37.030609130859375,3092,0.06358027458190918,0.0003,1.2859633843897988e-08,0.0385352
1918,775,206,396800,0.013489701465005055,-0.7478791754692793,0.3369140625,0.2,-66.08026123046875,3096,0.014378795400261879,0.0003,2.6302850897330643e-08,0.040634748
1921,776,206,397312,0.0018349890015088022,-0.7805427368730307,0.2490234375,0.2,-74.0365982055664,3100,-0.007946476340293884,0.0003,2.018048561591712e-08,0.019792093
